"Label (Grouping)","Census Tract 4052, Alameda County, California!!Number!!Estimate","Census Tract 4052, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4052, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.01, Alameda County, California!!Number!!Estimate","Census Tract 4053.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.02, Alameda County, California!!Number!!Estimate","Census Tract 4053.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.01, Alameda County, California!!Number!!Estimate","Census Tract 4054.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.02, Alameda County, California!!Number!!Estimate","Census Tract 4054.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4055, Alameda County, California!!Number!!Estimate","Census Tract 4055, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4055, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4056, Alameda County, California!!Number!!Estimate","Census Tract 4056, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4056, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4057, Alameda County, California!!Number!!Estimate","Census Tract 4057, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4057, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4058, Alameda County, California!!Number!!Estimate","Census Tract 4058, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4058, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.01, Alameda County, California!!Number!!Estimate","Census Tract 4059.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.02, Alameda County, California!!Number!!Estimate","Census Tract 4059.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4060, Alameda County, California!!Number!!Estimate","Census Tract 4060, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4060, Alameda County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","2,414","2,414","90,532","1,572","1,572","84,917","1,377","1,377","47,444","1,657","1,657","51,018","1,180","1,180","54,093","1,572","1,572","62,778","1,386","1,386","59,875","1,368","1,368","61,444","1,338","1,338","48,846","1,100","1,100","42,028","925","925","44,922","1,551","1,551","46,394"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","1,230","51.0%","94,444","907","57.7%","112,014","572","41.5%","64,844","441","26.6%","60,850","271","23.0%","85,139","555","35.3%","95,817","636","45.9%","87,115","293","21.4%","80,625","275","20.6%","125,469","162","14.7%","72,065","139","15.0%","92,102","523","33.7%","73,958"
"            Black or African American","342","14.2%","54,565","243","15.5%","56,302","233","16.9%","75,607","314","18.9%","39,545","365","30.9%","44,250","419","26.7%","53,257","305","22.0%","53,393","451","33.0%","33,918","372","27.8%","48,750","191","17.4%","34,904","183","19.8%","48,359","271","17.5%","-"
"            American Indian and Alaska Native","15","0.6%","-","0","0.0%","-","8","0.6%","-","0","0.0%","-","45","3.8%","-","7","0.4%","-","39","2.8%","-","14","1.0%","-","19","1.4%","-","19","1.7%","-","6","0.6%","-","6","0.4%","-"
"            Asian","599","24.8%","107,580","186","11.8%","-","490","35.6%","21,991","539","32.5%","48,977","302","25.6%","41,591","463","29.5%","58,789","247","17.8%","47,679","413","30.2%","76,125","525","39.2%","31,588","394","35.8%","-","430","46.5%","32,500","567","36.6%","35,972"
"            Native Hawaiian and Other Pacific Islander","0","0.0%","-","13","0.8%","-","0","0.0%","-","0","0.0%","-","18","1.5%","-","15","1.0%","-","0","0.0%","-","0","0.0%","-","25","1.9%","-","9","0.8%","-","0","0.0%","-","3","0.2%","-"
"            Some other race","132","5.5%","92,155","107","6.8%","-","25","1.8%","83,375","245","14.8%","41,860","116","9.8%","61,389","30","1.9%","-","76","5.5%","44,250","118","8.6%","62,100","79","5.9%","60,893","286","26.0%","30,909","137","14.8%","39,432","132","8.5%","38,387"
"        Two or more races","96","4.0%","-","116","7.4%","130,071","49","3.6%","45,375","118","7.1%","95,395","63","5.3%","66,250","83","5.3%","-","83","6.0%","98,508","79","5.8%","60,104","43","3.2%","-","39","3.5%","-","30","3.2%","44,500","49","3.2%","188,011"
"        Hispanic or Latino origin (of any race)","325","13.5%","94,018","208","13.2%","-","106","7.7%","33,981","276","16.7%","51,419","194","16.4%","54,718","140","8.9%","-","268","19.3%","51,250","149","10.9%","70,625","178","13.3%","46,447","427","38.8%","51,083","200","21.6%","46,071","291","18.8%","46,298"
"        White alone, not Hispanic or Latino","1,080","44.7%","97,500","856","54.5%","111,528","502","36.5%","70,556","388","23.4%","58,750","237","20.1%","89,861","480","30.5%","96,667","464","33.5%","95,250","239","17.5%","81,042","204","15.2%","138,828","47","4.3%","91,250","91","9.8%","95,750","370","23.9%","118,056"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","49","2.0%","53,867","7","0.4%","-","29","2.1%","84,844","59","3.6%","-","36","3.1%","-","14","0.9%","-","52","3.8%","-","85","6.2%","82,629","44","3.3%","-","62","5.6%","-","50","5.4%","17,813","25","1.6%","-"
"    25 to 44 years","1,176","48.7%","94,615","849","54.0%","112,366","655","47.6%","75,607","838","50.6%","71,250","675","57.2%","60,417","657","41.8%","93,646","655","47.3%","86,250","663","48.5%","63,125","536","40.1%","50,227","444","40.4%","58,629","324","35.0%","90,227","529","34.1%","67,589"
"    45 to 64 years","734","30.4%","92,857","486","30.9%","81,548","353","25.6%","45,387","500","30.2%","47,143","395","33.5%","52,563","554","35.2%","64,375","483","34.8%","65,750","533","39.0%","54,596","524","39.2%","61,071","390","35.5%","34,808","325","35.1%","46,534","649","41.8%","57,875"
"    65 years and over","455","18.8%","52,365","230","14.6%","35,938","340","24.7%","19,000","260","15.7%","25,119","74","6.3%","-","347","22.1%","36,861","196","14.1%","40,104","87","6.4%","-","234","17.5%","33,125","204","18.5%","-","226","24.4%","18,611","348","22.4%","14,934"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","984","984","117,885","558","558","82,407","460","460","-","726","726","52,500","672","672","60,375","838","838","86,429","694","694","79,000","646","646","75,142","907","907","48,125","932","932","45,714","657","657","43,672","744","744","44,657"
"        With own children of householder under 18 years","344","35.0%","168,750","184","33.0%","73,750","126","27.4%","36,250","284","39.1%","47,333","318","47.3%","62,222","298","35.6%","69,079","273","39.3%","110,917","265","41.0%","49,542","384","42.3%","40,250","391","42.0%","54,196","260","39.6%","53,750","263","35.3%","38,505"
