"Label (Grouping)","ZCTA5 94606!!Occupied housing units!!Estimate","ZCTA5 94606!!Owner-occupied housing units!!Estimate","ZCTA5 94606!!Renter-occupied housing units!!Estimate"
"Occupied housing units","15,201","2,901","12,300"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"        One race --","","",""
"            White","5,094","885","4,209"
"            Black or African American","3,234","346","2,888"
"            American Indian and Alaska Native","209","36","173"
"            Asian","4,568","1,432","3,136"
"            Native Hawaiian and Other Pacific Islander","85","11","74"
"            Some other race","1,243","103","1,140"
"        Two or more races","768","88","680"
"        Hispanic or Latino origin","2,458","348","2,110"
"        White alone, not Hispanic or Latino","4,139","681","3,458"
"    AGE OF HOUSEHOLDER","","",""
"        Under 35 years","4,298","251","4,047"
"        35 to 44 years","3,244","400","2,844"
"        45 to 54 years","2,672","605","2,067"
"        55 to 64 years","2,339","645","1,694"
"        65 to 74 years","1,642","614","1,028"
"        75 to 84 years","716","264","452"
"        85 years and over","290","122","168"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","",""
"        Less than high school graduate","2,908","669","2,239"
"        High school graduate (includes equivalency)","1,954","410","1,544"
"        Some college or associate's degree","4,427","773","3,654"
"        Bachelor's degree or higher","5,912","1,049","4,863"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","",""
"        Moved in 2017 or later","639","74","565"
"        Moved in 2015 to 2016","1,832","173","1,659"
"        Moved in 2010 to 2014","6,076","474","5,602"
"        Moved in 2000 to 2009","3,763","612","3,151"
"        Moved in 1990 to 1999","1,571","661","910"
"        Moved in 1989 or earlier","1,320","907","413"
