"Label (Grouping)","ZCTA5 94606!!Households!!Estimate","ZCTA5 94606!!Families!!Estimate","ZCTA5 94606!!Married-couple families!!Estimate","ZCTA5 94606!!Nonfamily households!!Estimate"
"Total","15,201","7,844","5,177","7,357"
"    Less than $10,000","6.6%","5.3%","4.1%","8.4%"
"    $10,000 to $14,999","8.8%","7.2%","7.2%","10.9%"
"    $15,000 to $24,999","11.0%","12.1%","10.1%","10.4%"
"    $25,000 to $34,999","10.0%","10.8%","10.7%","10.2%"
"    $35,000 to $49,999","11.0%","10.4%","8.4%","10.9%"
"    $50,000 to $74,999","17.9%","17.8%","16.2%","18.6%"
"    $75,000 to $99,999","10.9%","10.2%","11.3%","11.6%"
"    $100,000 to $149,999","13.3%","13.5%","16.4%","11.7%"
"    $150,000 to $199,999","6.1%","7.1%","8.1%","3.8%"
"    $200,000 or more","4.6%","5.4%","7.4%","3.6%"
"Median income (dollars)","53,108","56,379","63,816","48,520"
"Mean income (dollars)","70,624","74,069","N","63,551"
"PERCENT ALLOCATED","","","",""
"    Household income in the past 12 months","34.7%","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","36.1%","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","30.9%"
