"Label (Grouping)","ZCTA5 94606!!Occupied housing units!!Estimate","ZCTA5 94606!!Owner-occupied housing units!!Estimate","ZCTA5 94606!!Renter-occupied housing units!!Estimate"
"Occupied housing units","15,260","3,119","12,141"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"        One race --","","",""
"            White","5,084","924","4,160"
"            Black or African American","3,250","400","2,850"
"            American Indian and Alaska Native","168","21","147"
"            Asian","4,640","1,572","3,068"
"            Native Hawaiian and Other Pacific Islander","83","11","72"
"            Some other race","1,252","122","1,130"
"        Two or more races","783","69","714"
"        Hispanic or Latino origin","2,407","296","2,111"
"        White alone, not Hispanic or Latino","4,174","772","3,402"
"    AGE OF HOUSEHOLDER","","",""
"        Under 35 years","4,096","321","3,775"
"        35 to 44 years","3,389","478","2,911"
"        45 to 54 years","2,537","621","1,916"
"        55 to 64 years","2,408","656","1,752"
"        65 to 74 years","1,734","637","1,097"
"        75 to 84 years","790","293","497"
"        85 years and over","306","113","193"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","",""
"        Less than high school graduate","2,736","705","2,031"
"        High school graduate (includes equivalency)","2,207","504","1,703"
"        Some college or associate's degree","4,050","818","3,232"
"        Bachelor's degree or higher","6,267","1,092","5,175"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","",""
"        Moved in 2017 or later","1,446","177","1,269"
"        Moved in 2015 to 2016","2,348","212","2,136"
"        Moved in 2010 to 2014","5,012","405","4,607"
"        Moved in 2000 to 2009","3,520","748","2,772"
"        Moved in 1990 to 1999","1,526","720","806"
"        Moved in 1989 or earlier","1,408","857","551"
