"Label (Grouping)","Census Tract 4052, Alameda County, California!!Number!!Estimate","Census Tract 4052, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4052, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.01, Alameda County, California!!Number!!Estimate","Census Tract 4053.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4053.02, Alameda County, California!!Number!!Estimate","Census Tract 4053.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4053.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.01, Alameda County, California!!Number!!Estimate","Census Tract 4054.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4054.02, Alameda County, California!!Number!!Estimate","Census Tract 4054.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4054.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4055, Alameda County, California!!Number!!Estimate","Census Tract 4055, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4055, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4056, Alameda County, California!!Number!!Estimate","Census Tract 4056, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4056, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4057, Alameda County, California!!Number!!Estimate","Census Tract 4057, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4057, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4058, Alameda County, California!!Number!!Estimate","Census Tract 4058, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4058, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.01, Alameda County, California!!Number!!Estimate","Census Tract 4059.01, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.01, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4059.02, Alameda County, California!!Number!!Estimate","Census Tract 4059.02, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4059.02, Alameda County, California!!Median income (dollars)!!Estimate","Census Tract 4060, Alameda County, California!!Number!!Estimate","Census Tract 4060, Alameda County, California!!Percent Distribution!!Estimate","Census Tract 4060, Alameda County, California!!Median income (dollars)!!Estimate"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","2,215","2,215","83,551","1,520","1,520","105,112","1,314","1,314","57,216","1,612","1,612","57,153","1,154","1,154","52,136","1,499","1,499","77,528","1,388","1,388","70,909","1,470","1,470","64,938","1,287","1,287","51,851","1,074","1,074","48,846","950","950","55,192","1,627","1,627","47,015"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","1,198","54.1%","93,261","903","59.4%","107,055","546","41.6%","70,000","538","33.4%","63,542","228","19.8%","87,656","500","33.4%","85,938","539","38.8%","54,769","313","21.3%","85,313","240","18.6%","87,143","137","12.8%","64,375","157","16.5%","177,708","521","32.0%","66,250"
"            Black or African American","259","11.7%","57,266","215","14.1%","-","250","19.0%","76,552","239","14.8%","47,669","347","30.1%","-","415","27.7%","67,788","343","24.7%","64,625","683","46.5%","63,627","311","24.2%","47,218","159","14.8%","40,365","158","16.6%","48,056","336","20.7%","-"
"            American Indian and Alaska Native","0","0.0%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","29","2.5%","55,486","0","0.0%","-","45","3.2%","-","8","0.5%","-","13","1.0%","-","0","0.0%","-","7","0.7%","-","6","0.4%","-"
"            Asian","543","24.5%","79,676","194","12.8%","-","446","33.9%","-","491","30.5%","60,481","342","29.6%","41,667","388","25.9%","69,783","262","18.9%","112,763","302","20.5%","83,587","516","40.1%","31,058","374","34.8%","80,658","425","44.7%","42,411","529","32.5%","36,528"
"            Native Hawaiian and Other Pacific Islander","0","0.0%","-","8","0.5%","-","0","0.0%","-","0","0.0%","-","20","1.7%","-","12","0.8%","-","0","0.0%","-","0","0.0%","-","0","0.0%","-","8","0.7%","-","0","0.0%","-","7","0.4%","-"
"            Some other race","130","5.9%","110,125","80","5.3%","-","14","1.1%","-","253","15.7%","50,795","145","12.6%","51,985","101","6.7%","-","86","6.2%","43,750","90","6.1%","69,500","108","8.4%","61,429","281","26.2%","41,691","157","16.5%","46,875","162","10.0%","39,821"
"        Two or more races","85","3.8%","146,250","120","7.9%","86,250","58","4.4%","-","91","5.6%","95,547","43","3.7%","-","83","5.5%","-","113","8.1%","145,462","74","5.0%","-","99","7.7%","-","115","10.7%","32,276","46","4.8%","68,750","66","4.1%","133,977"
