"Label (Grouping)","Census Tract 4052, Alameda County, California!!Estimate","Census Tract 4052, Alameda County, California!!Percent","Census Tract 4053.01, Alameda County, California!!Estimate","Census Tract 4053.01, Alameda County, California!!Percent","Census Tract 4053.02, Alameda County, California!!Estimate","Census Tract 4053.02, Alameda County, California!!Percent","Census Tract 4054.01, Alameda County, California!!Estimate","Census Tract 4054.01, Alameda County, California!!Percent","Census Tract 4054.02, Alameda County, California!!Estimate","Census Tract 4054.02, Alameda County, California!!Percent","Census Tract 4055, Alameda County, California!!Estimate","Census Tract 4055, Alameda County, California!!Percent","Census Tract 4056, Alameda County, California!!Estimate","Census Tract 4056, Alameda County, California!!Percent","Census Tract 4057, Alameda County, California!!Estimate","Census Tract 4057, Alameda County, California!!Percent","Census Tract 4058, Alameda County, California!!Estimate","Census Tract 4058, Alameda County, California!!Percent","Census Tract 4059.01, Alameda County, California!!Estimate","Census Tract 4059.01, Alameda County, California!!Percent","Census Tract 4059.02, Alameda County, California!!Estimate","Census Tract 4059.02, Alameda County, California!!Percent","Census Tract 4060, Alameda County, California!!Estimate","Census Tract 4060, Alameda County, California!!Percent"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over","4,630","4,630","2,643","2,643","2,169","2,169","3,141","3,141","2,733","2,733","3,351","3,351","2,909","2,909","3,072","3,072","3,435","3,435","3,491","3,491","2,495","2,495","3,366","3,366"
"        In labor force","3,607","77.9%","2,230","84.4%","1,555","71.7%","2,334","74.3%","2,024","74.1%","2,423","72.3%","2,276","78.2%","2,176","70.8%","2,198","64.0%","2,254","64.6%","1,550","62.1%","2,272","67.5%"
"            Civilian labor force","3,607","77.9%","2,230","84.4%","1,555","71.7%","2,334","74.3%","2,024","74.1%","2,423","72.3%","2,276","78.2%","2,176","70.8%","2,198","64.0%","2,254","64.6%","1,545","61.9%","2,261","67.2%"
"                Employed","3,443","74.4%","2,133","80.7%","1,470","67.8%","2,180","69.4%","1,904","69.7%","2,312","69.0%","2,117","72.8%","1,987","64.7%","2,054","59.8%","2,081","59.6%","1,371","54.9%","1,953","58.0%"
"                Unemployed","164","3.5%","97","3.7%","85","3.9%","154","4.9%","120","4.4%","111","3.3%","159","5.5%","189","6.2%","144","4.2%","173","5.0%","174","7.0%","308","9.2%"
"            Armed Forces","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","0","0.0%","5","0.2%","11","0.3%"
"        Not in labor force","1,023","22.1%","413","15.6%","614","28.3%","807","25.7%","709","25.9%","928","27.7%","633","21.8%","896","29.2%","1,237","36.0%","1,237","35.4%","945","37.9%","1,094","32.5%"
"    Civilian labor force","3,607","3,607","2,230","2,230","1,555","1,555","2,334","2,334","2,024","2,024","2,423","2,423","2,276","2,276","2,176","2,176","2,198","2,198","2,254","2,254","1,545","1,545","2,261","2,261"
"        Unemployment Rate","(X)","4.5%","(X)","4.3%","(X)","5.5%","(X)","6.6%","(X)","5.9%","(X)","4.6%","(X)","7.0%","(X)","8.7%","(X)","6.6%","(X)","7.7%","(X)","11.3%","(X)","13.6%"
"    Females 16 years and over","2,331","2,331","1,495","1,495","1,017","1,017","1,683","1,683","1,446","1,446","1,762","1,762","1,373","1,373","1,521","1,521","1,874","1,874","1,912","1,912","1,247","1,247","1,807","1,807"
"        In labor force","1,844","79.1%","1,287","86.1%","622","61.2%","1,177","69.9%","1,003","69.4%","1,210","68.7%","1,042","75.9%","986","64.8%","1,107","59.1%","1,139","59.6%","775","62.1%","1,076","59.5%"
"            Civilian labor force","1,844","79.1%","1,287","86.1%","622","61.2%","1,177","69.9%","1,003","69.4%","1,210","68.7%","1,042","75.9%","986","64.8%","1,107","59.1%","1,139","59.6%","775","62.1%","1,076","59.5%"
"                Employed","1,741","74.7%","1,251","83.7%","591","58.1%","1,095","65.1%","983","68.0%","1,150","65.3%","972","70.8%","941","61.9%","1,026","54.7%","1,041","54.4%","680","54.5%","921","51.0%"
"    Own children of the householder under 6 years","283","283","126","126","81","81","230","230","283","283","191","191","160","160","149","149","263","263","451","451","208","208","136","136"
"        All parents in family in labor force","201","71.0%","118","93.7%","26","32.1%","219","95.2%","157","55.5%","152","79.6%","160","100.0%","76","51.0%","213","81.0%","236","52.3%","148","71.2%","58","42.6%"
"    Own children of the householder 6 to 17 years","290","290","165","165","123","123","277","277","399","399","333","333","286","286","355","355","641","641","618","618","350","350","351","351"
"        All parents in family in labor force","243","83.8%","165","100.0%","58","47.2%","197","71.1%","341","85.5%","269","80.8%","220","76.9%","177","49.9%","393","61.3%","491","79.4%","221","63.1%","168","47.9%"
"COMMUTING TO WORK","","","","","","","","","","","","","","","","","","","","","","","",""
"    Workers 16 years and over","3,414","3,414","2,076","2,076","1,398","1,398","2,148","2,148","1,827","1,827","2,266","2,266","2,036","2,036","1,897","1,897","2,019","2,019","2,029","2,029","1,345","1,345","1,885","1,885"
"        Car, truck, or van -- drove alone","1,608","47.1%","1,007","48.5%","496","35.5%","935","43.5%","940","51.5%","1,213","53.5%","1,065","52.3%","1,080","56.9%","1,178","58.3%","843","41.5%","750","55.8%","959","50.9%"
"        Car, truck, or van -- carpooled","345","10.1%","111","5.3%","210","15.0%","314","14.6%","80","4.4%","339","15.0%","160","7.9%","253","13.3%","427","21.1%","328","16.2%","191","14.2%","178","9.4%"
"        Public transportation (excluding taxicab)","779","22.8%","668","32.2%","419","30.0%","613","28.5%","508","27.8%","341","15.0%","544","26.7%","364","19.2%","275","13.6%","652","32.1%","197","14.6%","454","24.1%"
"        Walked","82","2.4%","25","1.2%","135","9.7%","91","4.2%","51","2.8%","51","2.3%","22","1.1%","126","6.6%","26","1.3%","33","1.6%","96","7.1%","58","3.1%"
"        Other means","208","6.1%","117","5.6%","101","7.2%","174","8.1%","156","8.5%","103","4.5%","60","2.9%","48","2.5%","67","3.3%","131","6.5%","50","3.7%","71","3.8%"
"        Worked from home","392","11.5%","148","7.1%","37","2.6%","21","1.0%","92","5.0%","219","9.7%","185","9.1%","26","1.4%","46","2.3%","42","2.1%","61","4.5%","165","8.8%"
"        Mean travel time to work (minutes)","36.8","(X)","34.8","(X)","32.5","(X)","32.1","(X)","32.5","(X)","30.4","(X)","36.8","(X)","28.1","(X)","29.1","(X)","33.2","(X)","28.9","(X)","30.3","(X)"
"OCCUPATION","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","3,443","3,443","2,133","2,133","1,470","1,470","2,180","2,180","1,904","1,904","2,312","2,312","2,117","2,117","1,987","1,987","2,054","2,054","2,081","2,081","1,371","1,371","1,953","1,953"
