"Label (Grouping)","ZCTA5 94606!!Occupied housing units!!Estimate","ZCTA5 94606!!Owner-occupied housing units!!Estimate","ZCTA5 94606!!Renter-occupied housing units!!Estimate"
"Occupied housing units","14,955","2,812","12,143"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","",""
"        One race --","","",""
"            White","4,890","797","4,093"
"            Black or African American","3,206","418","2,788"
"            American Indian and Alaska Native","211","35","176"
"            Asian","4,660","1,322","3,338"
"            Native Hawaiian and Other Pacific Islander","112","13","99"
"            Some other race","1,113","98","1,015"
"        Two or more races","763","129","634"
"        Hispanic or Latino origin","2,375","364","2,011"
"        White alone, not Hispanic or Latino","3,882","578","3,304"
"    AGE OF HOUSEHOLDER","","",""
"        Under 35 years","4,175","204","3,971"
"        35 to 44 years","3,164","453","2,711"
"        45 to 54 years","2,802","567","2,235"
"        55 to 64 years","2,355","709","1,646"
"        65 to 74 years","1,458","502","956"
"        75 to 84 years","739","293","446"
"        85 years and over","262","84","178"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","",""
"        Less than high school graduate","3,196","680","2,516"
"        High school graduate (includes equivalency)","2,117","398","1,719"
"        Some college or associate's degree","4,380","815","3,565"
"        Bachelor's degree or higher","5,262","919","4,343"
"    YEAR HOUSEHOLDER MOVED INTO UNIT","","",""
"        Moved in 2015 or later","1,556","157","1,399"
"        Moved in 2010 to 2014","6,485","478","6,007"
"        Moved in 2000 to 2009","4,001","705","3,296"
"        Moved in 1990 to 1999","1,622","628","994"
"        Moved in 1980 to 1989","695","362","333"
"        Moved in 1979 or earlier","596","482","114"
