"Label (Grouping)","ZCTA5 94606!!Households!!Estimate","ZCTA5 94606!!Families!!Estimate","ZCTA5 94606!!Married-couple families!!Estimate","ZCTA5 94606!!Nonfamily households!!Estimate"
"Total","15,712","7,713","4,804","7,999"
"    Less than $10,000","4.9%","3.2%","2.4%","6.9%"
"    $10,000 to $14,999","7.7%","4.0%","3.8%","11.2%"
"    $15,000 to $24,999","8.5%","9.2%","7.3%","8.6%"
"    $25,000 to $34,999","8.4%","8.6%","8.8%","8.2%"
"    $35,000 to $49,999","8.3%","9.5%","9.0%","7.2%"
"    $50,000 to $74,999","17.6%","15.4%","12.4%","20.4%"
"    $75,000 to $99,999","12.2%","14.5%","12.2%","10.8%"
"    $100,000 to $149,999","14.1%","15.4%","17.9%","13.1%"
"    $150,000 to $199,999","8.0%","9.8%","12.9%","4.9%"
"    $200,000 or more","10.3%","10.5%","13.3%","8.7%"
"Median income (dollars)","67,197","75,167","86,591","59,304"
"Mean income (dollars)","88,543","92,644","N","79,790"
"PERCENT ALLOCATED","","","",""
"    Household income in the past 12 months","36.7%","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","40.8%","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","31.0%"
