"Label (Grouping)","ZCTA5 94606!!Households!!Estimate","ZCTA5 94606!!Families!!Estimate","ZCTA5 94606!!Married-couple families!!Estimate","ZCTA5 94606!!Nonfamily households!!Estimate"
"Total","15,260","7,834","5,207","7,426"
"    Less than $10,000","5.4%","3.2%","2.4%","8.0%"
"    $10,000 to $14,999","8.3%","6.5%","5.3%","10.4%"
"    $15,000 to $24,999","10.2%","10.5%","8.7%","10.7%"
"    $25,000 to $34,999","8.7%","10.8%","11.2%","7.1%"
"    $35,000 to $49,999","11.3%","11.1%","9.1%","10.7%"
"    $50,000 to $74,999","17.0%","16.4%","15.7%","18.6%"
"    $75,000 to $99,999","11.1%","11.1%","10.7%","12.0%"
"    $100,000 to $149,999","14.3%","14.8%","16.9%","12.5%"
"    $150,000 to $199,999","7.6%","9.0%","10.9%","4.9%"
"    $200,000 or more","6.1%","6.6%","9.2%","5.1%"
"Median income (dollars)","56,129","61,380","71,173","52,858"
"Mean income (dollars)","77,272","81,016","N","69,297"
"PERCENT ALLOCATED","","","",""
"    Household income in the past 12 months","34.2%","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","36.9%","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","29.0%"
